headline,date,article,url
Export Sales to Unknown Destinations,"February 4, 2026","Private exporters reported sales of 130,480 metric tons of corn for delivery to unknown destinations during the 2025/2026 marketing year.",https://www.fas.usda.gov/newsroom/export-sales-unknown-destinations-122
Export Sales to Unknown Destinations,"January 27, 2026",Private exporters reported the following sales activities:,https://www.fas.usda.gov/newsroom/export-sales-unknown-destinations-121
Export Sales to Unknown Destinations,"January 22, 2026","Private exporters reported sales of 192,350 metric tons of soybeans for delivery to unknown destinations during the 2025/2026 marketing year.",https://www.fas.usda.gov/newsroom/export-sales-unknown-destinations-120
Export Sales to Colombia and Unknown Destinations,"January 21, 2026",Private exporters reported the following sales activities:,https://www.fas.usda.gov/newsroom/export-sales-colombia-and-unknown-destinations-1
Export Sales to the Philippines,"January 20, 2026","Private exporters reported sales of 190,000 metric tons of soybean cake and meal for delivery to the Philippines during the 2025/2026 marketing year.",https://www.fas.usda.gov/newsroom/export-sales-philippines-5
Export Sales to Unknown Destinations and Japan,"January 16, 2026",Private exporters reported the following sales activity:,https://www.fas.usda.gov/newsroom/export-sales-unknown-destinations-and-japan
